1003 4738
23 141 1
279 117 1
377 833 6579012
83 104 6367786
596 835 1879786
272 286 200561
715 541 1
666 967 1
484 505 3412916
989 570 1
783 46 388143
670 830 1
870 686 1
257 182 1
692 800 196358
891 299 544699
803 916 1
49 621 1
767 157 4080029
594 850 227027
658 493 182892
559 697 25809039
241 376 549935
534 179 767716
411 13 977474
811 947 4486508
783 219 1
778 30 7872993
648 755 1
765 584 24027625
604 662 5018235
206 264 1122738
238 297 147016
540 844 6947295
704 231 6826552
438 275 14216709
175 653 10381147
72 320 3192428
105 998 1
998 203 12969991
520 831 7945710
632 819 5987580
551 829 1
903 505 16922454
161 294 11497955
240 121 1
319 993 1
24 895 139687
959 239 66379
385 577 1
164 647 1
400 5 24773203
51 951 1
855 893 1
378 123 1
60 76 1
549 991 903757
116 960 389102
586 254 20785604
597 339 1
293 619 803134
776 65 944940
773 723 1
161 363 809174
139 736 1
293 757 1
954 27 15668466
320 572 1
465 851 1
971 619 1
385 379 1
815 157 1192784
168 874 182556
432 678 373726
332 813 187987
151 635 1
705 759 7460656
100 93 8488816
345 71 4125309
688 86 270398
929 168 12798391
651 209 1
888 497 19400067
184 774 7870039
654 461 301092
527 694 85776
303 482 10734358
823 206 534498
502 134 20551495
646 331 16251927
421 245 1
982 92 232936
261 437 768762
520 848 1
378 738 926331
779 794 10172418
144 824 16325259
582 2 1
675 392 1
477 195 1
828 466 727653
669 345 219546
400 770 11718415
547 536 8711621
751 846 7186756
703 527 403180
359 255 19571091
629 278 21356997
254 310 1
625 14 10240279
174 571 21534841
53 10 185634
755 209 6272309
762 610 1
975 473 1631445
122 418 1
177 868 1
490 477 6098317
164 809 3771170
21 34 1
463 633 1
852 401 934584
968 357 80712
801 43 1
770 725 1
73 745 494293
859 881 10515871
875 457 3872891
581 192 720132
659 507 249083
933 406 1
576 70 846139
94 398 12523861
617 175 1
872 620 16416885
932 947 18515024
395 838 1
548 648 18355495
53 294 846774
608 325 677245
397 724 777138
659 85 1
665 327 1
824 192 1
491 64 859259
578 475 1
855 206 20532703
224 897 710162
740 50 1
309 7 147034
714 820 1
358 361 1
407 55 75367
250 304 8148658
867 260 7720983
336 518 266799
789 788 777777
914 410 1320500
663 653 7450240
818 576 5713769
937 987 301766
481 284 1
320 242 1
790 278 1
997 42 12358261
819 917 1
68 109 15291853
611 949 993407
545 636 1
398 900 2707067
999 51 1
881 235 3280142
332 147 22665591
957 76 1
653 775 1
435 396 15942048
362 837 11161524
495 632 865955
259 772 651901
617 280 22729213
86 193 1
646 725 135430
520 853 657960
305 427 971107
554 880 629048
3 666 1
389 837 16989314
762 671 1
773 252 2463166
201 421 18358072
331 945 674721
272 235 668880
602 779 1
826 803 1
448 973 2890438
536 95 3900097
456 852 1
849 340 1
12 150 15359491
934 69 2291435
778 825 6198865
830 537 1
726 636 784478
764 946 684182
139 948 1
474 854 471018
645 446 276079
336 345 1
200 319 2512345
879 704 925173
944 321 20841749
909 41 1
915 746 3012547
649 13 15961699
141 437 2503625
899 915 20762296
311 458 1
238 754 9951378
779 222 613884
731 326 7293010
376 897 3599607
476 117 7135662
457 36 4903781
572 931 976526
61 841 11632506
870 316 1
318 186 18658615
267 403 1
808 123 427771
854 358 1
224 759 1
598 300 367068
509 674 12270995
69 21 17228030
489 454 1
396 719 147979
849 45 467281
797 329 1
927 526 2292864
494 64 1
216 580 66498
730 157 2619628
652 886 1
595 833 901966
707 377 217417
301 200 116140
100 727 205816
255 919 4584054
450 675 12028832
734 989 6699133
611 618 128993
782 607 14758857
346 680 1
945 169 2840476
962 14 11441580
681 333 7132286
465 652 516308
997 129 5366549
383 500 5592519
349 650 1
623 979 224333
633 575 7702526
847 617 351491
490 792 323091
998 669 906144
992 150 15268639
923 286 24052947
504 870 768580
331 118 1
724 491 1
353 733 8560198
196 467 1
812 923 1
425 318 5027741
896 700 76830
141 698 11599918
300 7 1
861 922 192391
284 245 21269867
359 816 1
703 266 1
597 431 2582756
1000 187 1
50 614 1
589 80 3246157
600 692 14489351
588 673 11662107
338 695 5746096
234 775 11068827
529 414 1
327 853 6692490
655 86 19436044
11 815 755174
806 253 23305106
454 264 10850866
663 164 1835420
470 990 6125375
142 466 2031748
947 527 317898
99 697 14023348
336 455 1
641 234 1
650 325 5907179
822 754 21858824
857 7 1
309 158 1
39 321 13199348
181 926 17836593
312 727 1
587 691 1
903 767 4328162
998 816 306123
64 435 1
667 137 5230944
898 538 1
606 986 1
718 240 14407358
941 305 6684564
240 330 1
304 204 1
185 485 1
540 312 1
675 898 1373277
421 431 935813
540 663 1
260 989 612374
515 314 34335
457 831 10039895
305 476 1
12 779 1
452 275 713193
556 765 1
169 306 4686851
817 501 97954
20 480 1
646 658 115781
774 135 1
536 707 1
133 181 5088727
902 885 1
104 452 1
454 441 1
280 779 1
734 851 1
271 409 1
441 930 1
473 119 607724
614 869 6394455
587 884 1
783 372 1
194 273 1
820 480 11905522
452 528 1
907 676 1
922 289 22614155
84 951 1
332 35 316380
533 79 9240451
52 769 3052359
443 337 1
564 622 603532
619 498 808515
247 19 13602011
569 792 1925506
876 761 2643974
323 24 1
712 12 1
651 123 1
295 505 26655318
681 618 1
945 25 6520572
138 324 13551319
396 633 1
182 825 1
99 183 1
446 812 905630
713 368 8581987
717 802 36062
462 182 93788
796 104 21054878
86 885 1
392 398 18424389
292 71 915554
650 975 825445
102 450 1
877 420 15817
651 578 559923
331 323 278335
850 286 24408655
359 678 1
688 442 397439
751 701 1
609 411 1
57 35 1
988 248 13179148
987 594 1
513 787 1
795 970 1
31 900 5257206
86 471 1550279
899 35 825891
343 513 1
421 115 1
623 885 14487704
847 592 20901266
710 709 1
264 629 1
791 22 1
300 294 1
286 591 1
145 19 1
569 74 1
755 330 924491
6 561 1
325 706 72616
279 98 1
194 91 1
234 238 13632276
950 241 6758252
153 824 1
874 301 526390
643 677 1
713 135 1
346 277 1
13 845 1890041
632 331 508670
809 673 3353187
404 645 1
461 90 5638202
837 15 776192
872 60 1658426
584 568 55535
507 906 412449
141 723 25939
873 743 16901139
724 309 367777
441 314 1
714 324 800848
279 269 365498
318 216 1
467 773 103049
425 627 8901524
53 902 10542405
759 557 11694783
262 714 1
405 209 1
493 403 16457118
886 780 14489312
163 212 1
668 117 347657
417 10 2447666
535 83 11132359
717 965 812460
614 776 7226342
786 812 3958332
379 754 23175040
436 986 5666149
92 917 229451
812 884 1
587 281 1
202 901 7848000
175 641 1
883 12 1
86 777 1
68 929 91012
220 578 25195023
536 194 482786
356 789 9085315
855 450 1
704 874 23249693
698 210 715643
509 299 1
188 341 12885743
875 84 23030453
470 684 3666524
41 157 5343950
729 143 25477397
768 829 1
606 942 1
667 488 440135
116 354 1
404 101 1
577 486 8330145
156 481 1
497 509 1
26 994 951539
37 40 1
193 698 15885343
823 649 1
994 775 3483121
732 125 4007685
678 608 3747797
601 610 1
675 52 7942693
675 894 791352
518 449 1
238 321 10208172
573 855 1510794
122 192 1
532 466 20481589
